eip,title,status,type,author,created
,,,,,
1,EIP Purpose and Guidelines,Living,Meta,"Martin Becze <mb@ethereum.org>, Hudson Jameson <hudson@ethereum.org>, et al.",2015-10-27
,,,,,
100,Change difficulty adjustment to target mean block time including uncles,Vitalik Buterin (@vbuterin),Standards Track,Core,Final
,,,,,
101,Serenity Currency and Crypto Abstraction,Vitalik Buterin (@vbuterin),Stagnant,Standards Track,Core
,,,,,
1010,Uniformity Between 0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B and 0x15E55EF43efA8348dDaeAa455F16C43B64917e3c,Anderson Wesley (@andywesley),andywesley#1,Stagnant,Standards Track
,,,,,
1011,Hybrid Casper FFG,Stagnant,Standards Track,Core,"Danny Ryan (@djrtwo), Chih-Cheng Liang (@ChihChengLiang)"
,,,,,
1013,Hardfork Meta: Constantinople,Nick Savers (@nicksavers),Meta,Final,2018-04-20
,,,,,
1014,Skinny CREATE2,Vitalik Buterin (@vbuterin),Core,Standards Track,Final
,,,,,
1015,Configurable On Chain Issuance,Alex Van de Sande <avsa@ethereum.org>,https://ethereum-magicians.org/t/eip-dynamic-block-rewards-with-governance-contract/204,Stagnant,Standards Track
,,,,,
1046,tokenURI Interoperability,"Extends ERC-20 with an ERC-721-like tokenURI, and extends ERC-721 and ERC-1155 with interoperability","Tommy Nicholas (@tomasienrbc), Matt Russo (@mateosu), John Zettler (@JohnZettler), Matt Condon (@shrugs), Gavin John (@Pandapip1)",https://ethereum-magicians.org/t/eip-1046-erc-20-metadata-extension/13036,Final
,,,,,
1051,Overflow checking for the EVM,Nick Johnson <arachnid@notdot.net>,https://ethereum-magicians.org/t/eip-arithmetic-overflow-detection-for-the-evm/261,Stagnant,Standards Track
,,,,,
1052,EXTCODEHASH opcode,"Nick Johnson <arachnid@notdot.net>, Paweł Bylica <pawel@ethereum.org>",https://ethereum-magicians.org/t/extcodehash-opcode/262,Final,Standards Track
,,,,,
1056,Ethereum Lightweight Identity,"Pelle Braendgaard <pelle.braendgaard@consensys.net>, Joel Torstensson <oed@consensys.net>",Standards Track,ERC,#1056
,,,,,
1057,"ProgPoW, a Programmatic Proof-of-Work","Greg Colvin <greg@colvin.org>, Andrea Lanfranchi (@AndreaLanfranchi), Michael Carter (@bitsbetrippin), IfDefElse <ifdefelse@protonmail.com>",https://ethereum-magicians.org/t/eip-progpow-a-programmatic-proof-of-work/272,Stagnant,Standards Track
,,,,,
1062,Formalize IPFS hash into ENS(Ethereum Name Service) resolver,"Phyrex Tsai <phyrex@portal.network>, Portal Network Team",https://ethereum-magicians.org/t/eip-1062-formalize-ipfs-hash-into-ens-ethereum-name-service-resolver/281,Stagnant,Standards Track
,,,,,
1066,Status Codes,"Brooklyn Zelenka (@expede), Tom Carchrae (@carchrae), Gleb Naumenko (@naumenkogs)",https://ethereum-magicians.org/t/erc-1066-ethereum-status-codes-esc/,Stagnant,Standards Track
,,,,,
107,"safe ""eth_sendTransaction"" authorization via html popup",Ronan Sandford (@wighawag),2016-06-05,Stagnant,Standards Track
,,,,,
1077,Gas relay for contract calls,"Alex Van de Sande <avsa@ethereum.org>, Ricardo Guilherme Schmidt (@3esmit)",https://ethereum-magicians.org/t/erc1077-and-1078-the-magic-of-executable-signed-messages-to-login-and-do-actions/351,Stagnant,Standards Track
,,,,,
1078,Universal login / signup using ENS subdomains,Alex Van de Sande <avsa@ethereum.org>,https://ethereum-magicians.org/t/erc1077-and-1078-the-magic-of-executable-signed-messages-to-login-and-do-actions/351,Stagnant,Standards Track
,,,,,
1080,Recoverable Token,Bradley Leatherwood <bradleat@inkibra.com>,https://ethereum-magicians.org/t/erc-1080-recoverabletoken-standard/364,Stagnant,Standards Track
,,,,,
1081,Standard Bounties,"Mark Beylin <mark.beylin@consensys.net>, Kevin Owocki <kevin.owocki@consensys.net>, Ricardo Guilherme Schmidt (@3esmit)",https://gitter.im/bounties-network/Lobby,Stagnant,Standards Track
,,,,,
1087,Net gas metering for SSTORE operations,Nick Johnson (@arachnid),https://ethereum-magicians.org/t/eip-net-storage-gas-metering-for-the-evm/383,Stagnant,Standards Track
,,,,,
1102,Opt-in account exposure,"Paul Bouchon <mail@bitpshr.net>, Erik Marks (@rekmarks)",https://ethereum-magicians.org/t/eip-1102-opt-in-provider-access/414,Stagnant,Standards Track
,,,,,
1108,Reduce alt_bn128 precompile gas costs,"Antonio Salazar Cardozo (@shadowfiend), Zachary Williamson (@zac-williamson)",https://ethereum-magicians.org/t/eip-1108-reduce-alt-bn128-precompile-gas-costs/3206,Final,Standards Track
,,,,,
1109,PRECOMPILEDCALL opcode (Remove CALL costs for precompiled contracts),Jordi Baylina (@jbaylina),https://ethereum-magicians.org/t/eip-1109-remove-call-costs-for-precompiled-contracts/447,Stagnant,Standards Track
,,,,,
1123,Revised Ethereum Smart Contract Packaging Standard,"g. nicholas d’andrea (@gnidan), Piper Merriam (@pipermerriam), Nick Gheorghita (@njgheorghita), Danny Ryan (@djrtwo)",#1123,Withdrawn,Standards Track
,,,,,
1129,Standardised DAPP announcements,Jan Turk (@ThunderDeliverer),https://ethereum-magicians.org/t/eip-sda-standardised-dapp-announcements/508?u=thunderdeliverer,Stagnant,Standards Track
,,,,,
1132,Extending ERC20 with token locking capability,nitika-goel <nitika@govblocks.io>,Standards Track,ERC,Stagnant
,,,,,
1153,Transient storage opcodes,Add opcodes for manipulating state that behaves identically to storage but is discarded after every transaction,"Alexey Akhunov (@AlexeyAkhunov), Moody Salem (@moodysalem)",https://ethereum-magicians.org/t/eip-transient-storage-opcodes/553,Last Call
,,,,,
1154,Oracle Interface,Alan Lu (@cag),#1161,Withdrawn,Standards Track
,,,,,
1155,Multi Token Standard,"Witek Radomski <witek@enjin.io>, Andrew Cooke <ac0dem0nk3y@gmail.com>, Philippe Castonguay (@phabc) <pc@horizongames.net>, James Therien <james@turing-complete.com>, Eric Binet <eric@enjin.io>, Ronan Sandford (@wighawag) <wighawag@gmail.com>",Standards Track,ERC,Final
,,,,,
1167,Minimal Proxy Contract,"Peter Murray (@yarrumretep), Nate Welch (@flygoing), Joe Messerman (@JAMesserman)",optionality/clone-factory#10,Final,Standards Track
,,,,,
1175,Wallet & shop standard for all tokens (erc20),Jet Lim (@Nitro888),#1182,Stagnant,Standards Track
,,,,,
1178,Multi-class Token Standard,Albert Chon <achon@stanford.edu>,#1179,Stagnant,Standards Track
,,,,,
1185,Storage of DNS Records in ENS,A system to store and retrieve DNS records within the ENS contract.,Jim McDonald (@mcdee),https://ethereum-magicians.org/t/eip1185-dns-resolver-profile-for-ens/1589,Draft
,,,,,
1186,RPC-Method to get Merkle Proofs - eth_getProof,"Simon Jentzsch <simon.jentzsch@slock.it>, Christoph Jentzsch <christoph.jentzsch@slock.it>",#1186,Stagnant,Standards Track
,,,,,
1191,Add chain id to mixed-case checksum address encoding,Juliano Rizzo (@juli),Last Call,2019-11-18,Standards Track
,,,,,
1193,Ethereum Provider JavaScript API,"Fabian Vogelsteller (@frozeman), Ryan Ghods (@ryanio), Victor Maia (@MaiaVictor), Marc Garreau (@marcgarreau), Erik Marks (@rekmarks)",#2319,Final,Standards Track
,,,,,
1202,Voting Interface,A general interface for voting on-chain,"Zainan Victor Zhou (@xinbenlv), Evan (@evbots), Yin Xu (@yingogobot)",https://ethereum-magicians.org/t/eip-1202-voting-interface/11484,Draft
,,,,,
1203,ERC-1203 Multi-Class Token Standard (ERC-20 Extension),"Jeff Huang <jeffishjeff@gmail.com>, Min Zu <crawlregister@gmail.com>",#1203,Stagnant,Standards Track
,,,,,
1207,DAuth Access Delegation Standard,"Xiaoyu Wang (@wxygeek), Bicong Wang (@Wangbicong)",#1207,Stagnant,Standards Track
,,,,,
1227,Defuse Difficulty Bomb and Reset Block Reward,SmeargleUsedFly (@SmeargleUsedFly),#1227,Stagnant,Standards Track
,,,,,
1234,Constantinople Difficulty Bomb Delay and Block Reward Adjustment,Afri Schoedon (@5chdn),https://ethereum-magicians.org/t/eip-1234-constantinople-difficulty-bomb-delay-and-block-reward-adjustment/833,Standards Track,Core
,,,,,
1240,Remove Difficulty Bomb,Micah Zoltu (@MicahZoltu),https://ethereum-magicians.org/t/difficulty-bomb-removal/832,Standards Track,Core
,,,,,
1261,Membership Verification Token (MVT),"Chaitanya Potti (@chaitanyapotti), Partha Bhattacharya (@pb25193)",Standards Track,ERC,Stagnant
,,,,,
1271,Standard Signature Validation Method for Contracts,Standard way to verify a signature when the account is a smart contract,"Francisco Giordano (@frangio), Matt Condon (@shrugs), Philippe Castonguay (@PhABC), Amir Bandeali (@abandeali1), Jorge Izquierdo (@izqui), Bertrand Masius (@catageek)",#1271,Final
,,,,,
1276,Eliminate Difficulty Bomb and Adjust Block Reward on Constantinople Shift,EOS Classic (@eosclassicteam),https://ethereum-magicians.org/t/eip-1276-eliminate-difficulty-bomb-and-adjust-block-reward-on-constantinople-shift/908,Standards Track,Core
,,,,,
1283,Net gas metering for SSTORE without dirty maps,Wei Tang (@sorpaas),sorpaas#1,Final,Standards Track
,,,,,
1285,Increase Gcallstipend gas in the CALL opcode,"Ben Kaufman <ben@daostack.io>, Adam Levi <adam@daostack.io>",https://ethereum-magicians.org/t/eip-1285-increase-gcallstipend-gas-in-the-call-opcode/941,Stagnant,Standards Track
,,,,,
1295,Modify Ethereum PoW Incentive Structure and Delay Difficulty Bomb,Brian Venturo (@atlanticcrypto),atlanticcrypto/Discussion#1,Stagnant,Standards Track
,,,,,
1319,Smart Contract Package Registry Interface,"Piper Merriam <piper@ethereum.org>, Christopher Gewecke <christophergewecke@gmail.com>, g. nicholas d'andrea <nick.dandrea@consensys.net>, Nick Gheorghita (@njgheorghita)",Standards Track,ERC,Stagnant
,,,,,
1328,WalletConnect URI Format,Define URI format for initiating connections between applications and wallets,"ligi (@ligi), Pedro Gomes (@pedrouid)",https://ethereum-magicians.org/t/wallet-connect-eip/850,Review
,,,,,
1337,Subscriptions on the blockchain,"Kevin Owocki <kevin@gitcoin.co>, Andrew Redden <andrew@blockcrushr.com>, Scott Burke <scott@blockcrushr.com>, Kevin Seagraves <k.s.seagraves@gmail.com>, Luka Kacil <luka.kacil@gmail.com>, Štefan Šimec <stefan.simec@gmail.com>, Piotr Kosiński (@kosecki123), ankit raj <tradeninja7@gmail.com>, John Griffin <john@atchai.com>, Nathan Creswell <nathantr@gmail.com>",https://ethereum-magicians.org/t/eip-1337-subscriptions-on-the-blockchain/4422,Standards Track,Stagnant
,,,,,
1344,ChainID opcode,"Richard Meissner (@rmeissner), Bryant Eisenbach (@fubuloubu)",https://ethereum-magicians.org/t/add-chain-id-opcode-for-replay-protection-when-handling-signed-messages-in-contracts/1131,Core,Standards Track
,,,,,
1352,Specify restricted address range for precompiles/system contracts,Alex Beregszaszi (@axic),https://ethereum-magicians.org/t/eip-1352-specify-restricted-address-range-for-precompiles-system-contracts/1151,Stagnant,Standards Track
,,,,,
1355,Ethash 1a,"Paweł Bylica (@chfast), Jean M. Cyr (@jean-m-cyr)",https://ethereum-magicians.org/t/eip-1355-ethash-1a/1167,Withdrawn,Standards Track
,,,,,
1363,Payable Token,Vittorio Minacori (@vittominacori),#1363,Final,Standards Track
,,,,,
137,Ethereum Domain Name Service - Specification,Nick Johnson <arachnid@notdot.net>,Final,Standards Track,ERC
,,,,,
1380,Reduced gas cost for call to self,"Alex Beregszaszi (@axic), Jacques Wagener (@jacqueswww)",https://ethereum-magicians.org/t/eip-1380-reduced-gas-cost-for-call-to-self/1242,Stagnant,Standards Track
,,,,,
1386,Attestation management contract,"Weiwu Zhang <a@colourful.land>, James Sangalli <j.l.sangalli@gmail.com>",#1386,Stagnant,Standards Track
,,,,,
1387,Merkle Tree Attestations with Privacy enabled,"Weiwu Zhang <a@colourful.land>, James Sangalli <j.l.sangalli@gmail.com>",#1387,Stagnant,Standards Track
,,,,,
1388,Attestation Issuers Management List,"Weiwu Zhang <a@colourful.land>, James Sangalli <j.l.sangalli@gmail.com>",#1388,Stagnant,Standards Track
,,,,,
140,REVERT instruction,"Alex Beregszaszi (@axic), Nikolai Mushegian <nikolai@nexusdev.us>",Standards Track,Core,Final
,,,,,
141,Designated invalid EVM instruction,Alex Beregszaszi (@axic),Standards Track,Core,Final
,,,,,
1417,Poll Standard,"Chaitanya Potti (@chaitanyapotti), Partha Bhattacharya (@pb25193)",Standards Track,ERC,Stagnant
,,,,,
1418,Blockchain Storage Rent Payment,"At each block, deduct value from every account based on the quantity of storage used by that account.",William Entriken (@fulldecent),https://ethereum-magicians.org/t/eip-1418-storage-rent/10737,Draft
,,,,,
1438,dApp Components (avatar) & Universal Wallet,Jet Lim (@Nitro888),https://ethresear.ch/t/avatar-system-and-universal-wallet-for-ethereum-address/3473,Stagnant,Standards Track
,,,,,
1444,Localized Messaging with Signal-to-Text,"Brooklyn Zelenka (@expede), Jennifer Cooper (@jenncoop)",https://ethereum-magicians.org/t/eip-1444-localized-messaging-with-signal-to-text/,Stagnant,Standards Track
,,,,,
145,Bitwise shifting instructions in EVM,"Alex Beregszaszi (@axic), Paweł Bylica (@chfast)",Standards Track,Core,Final
,,,,,
1450,ERC-1450 A compatible security token for issuing and trading SEC-compliant securities,"John Shiple (@johnshiple), Howard Marks <howard@startengine.com>, David Zhang <david@startengine.com>",https://ethereum-magicians.org/t/erc-proposal-ldgrtoken-a-compatible-security-token-for-issuing-and-trading-sec-compliant-securities/1468,Stagnant,Standards Track
,,,,,
1459,Node Discovery via DNS,Scheme for authenticated updateable Ethereum node lists via DNS.,"Felix Lange (@fjl), Péter Szilágyi (@karalabe)",ethereum/devp2p#50,Draft
,,,,,
1462,Base Security Token,"Maxim Kupriianov <mk@atlant.io>, Julian Svirsky <js@atlant.io>",https://ethereum-magicians.org/t/erc-1462-base-security-token/1501,Stagnant,Standards Track
,,,,,
1470,Smart Contract Weakness Classification (SWC),Gerhard Wagner (@thec00n),#1469,Stagnant,Informational
,,,,,
1474,Remote procedure call specification,"Paul Bouchon <mail@bitpshr.net>, Erik Marks (@rekmarks)",https://ethereum-magicians.org/t/eip-remote-procedure-call-specification/1537,Stagnant,Standards Track
,,,,,
1482,Define a maximum block timestamp drift,Maurelian (@Maurelian),https://ethereum-magicians.org/t/define-a-maximum-block-timestamp-drift/1556,Stagnant,Standards Track
,,,,,
1484,Digital Identity Aggregator,"Anurag Angara <anurag.angara@gmail.com>, Andy Chorlian <andychorlian@gmail.com>, Shane Hampton <shanehampton1@gmail.com>, Noah Zinsmeister <noahwz@gmail.com>",#1495,Stagnant,Standards Track
,,,,,
1485,TEthashV1,"trustfarm <trustfarm.info@gmail.com>, trustfarm <cpplover@trustfarm.net>",https://ethereum-magicians.org/t/anti-eth-asic-mining-eip-1488-pr/1807,Stagnant,Standards Track
,,,,,
1491,Human Cost Accounting Standard (Like Gas but for humans),Iamnot Chris (@cohabo),freeworkculture/kazini#11,Stagnant,Standards Track
,,,,,
150,Gas cost changes for IO-heavy operations,Vitalik Buterin (@vbuterin),Standards Track,Core,Final
,,,,,
1504,Upgradable Smart Contract,"Kaidong Wu <wukd94@pku.edu.cn>, Chuqiao Ren <cr025@bucknell.edu>, Ruthia He <rujiahe@gmail.com>, Yun Ma <mayun@pku.edu.cn>, Xuanzhe Liu <liuxuanzhe@pku.edu.cn>",#1503,Stagnant,Standards Track
,,,,,
152,Add BLAKE2 compression function `F` precompile,"Tjaden Hess <tah83@cornell.edu>, Matt Luongo (@mhluongo), Piotr Dyraga (@pdyraga), James Hancock (@MadeOfTin)",#152,Final,Standards Track
,,,,,
1523,Standard for Insurance Policies as ERC-721 Non Fungible Tokens,Christoph Mussenbrock (@christoph2806),#1523,Stagnant,Standards Track
,,,,,
1538,Transparent Contract Standard,Nick Mudge <nick@perfectabstractions.com>,#1538,Withdrawn,Standards Track
,,,,,
155,Simple replay attack protection,Vitalik Buterin (@vbuterin),Standards Track,Core,Final
,,,,,
1559,Fee market change for ETH 1.0 chain,"Vitalik Buterin (@vbuterin), Eric Conner (@econoar), Rick Dudley (@AFDudley), Matthew Slipper (@mslipper), Ian Norden (@i-norden), Abdelhamid Bakhta (@abdelhamidbakhta)",https://ethereum-magicians.org/t/eip-1559-fee-market-change-for-eth-1-0-chain/2783,Final,Standards Track
,,,,,
1571,EthereumStratum/2.0.0,"Andrea Lanfranchi (@AndreaLanfranchi), Pawel Bylica (@chfast), Marius Van Der Wijden (@MariusVanDerWijden)",https://github.com/AndreaLanfranchi/EthereumStratum-2.0.0/issues,Stagnant,Standards Track
,,,,,
1577,contenthash field for ENS,"Dean Eigenmann <dean@ens.domains>, Nick Johnson <nick@ens.domains>",Standards Track,ERC,Stagnant
,,,,,
158,State clearing,Vitalik Buterin (@vbuterin),Standards Track,Core,Final
,,,,,
1581,Non-wallet usage of keys derived from BIP-32 trees,A derivation path structure for BIP32 trees to generate key pairs not meant to hold crypto assets.,Michele Balistreri (@bitgamma),https://ethereum-magicians.org/t/non-wallet-usage-of-keys-derived-from-bip-32-trees/1817,Stagnant
,,,,,
1588,Hardfork Meta: Ethereum ProgPoW,Ikmyeong Na (@naikmyeong),Stagnant,Meta,2018-11-16
,,,,,
1592,Address and ERC20-compliant transfer rules,"Cyril Lapinte <cyril.lapinte@mtpelerin.com>, Laurent Aapro <laurent.aapro@mtpelerin.com>",#1597,Standards Track,ERC
,,,,,
160,EXP cost increase,Vitalik Buterin (@vbuterin),Standards Track,Core,Final
,,,,,
161,State trie clearing (invariant-preserving alternative),Gavin Wood (@gavofyork),Standards Track,Core,Final
,,,,,
1613,Gas stations network,"Yoav Weiss <yoav@tabookey.com>, Dror Tirosh <dror@tabookey.com>, Alex Forshtat <alex@tabookey.com>",yoav-tabookey#1,Stagnant,Standards Track
,,,,,
1616,Attribute Registry Standard,"0age (@0age), Santiago Palladino (@spalladino), Leo Arias (@elopio), Alejo Salles (@fiiiu), Stephane Gosselin (@thegostep)",#1616,Stagnant,Standards Track
,,,,,
162,Initial ENS Hash Registrar,"Maurelian, Nick Johnson  <nick@ethereum.org>, Alex Van de Sande <avsa@ethereum.org>",Final,Standards Track,ERC
,,,,,
1620,Money Streaming,Paul Berg (@PaulRBerg),#1620,Stagnant,Standards Track
,,,,,
1633,Re-Fungible Token Standard (RFT),"Billy Rennekamp (@okwme), Dan Long <dan@artblx.com>, Kiryl Yermakou <kiryl@artblx.com>, Nate van der Ende <nate@artblx.com>",#1634,Stagnant,Standards Track
,,,,,
165,Standard Interface Detection,"Christian Reitwießner <chris@ethereum.org>, Nick Johnson <nick@ethereum.org>, Fabian Vogelsteller <fabian@lukso.network>, Jordi Baylina <jordi@baylina.cat>, Konrad Feldmeier <konrad.feldmeier@brainbot.com>, William Entriken <github.com@phor.net>",Standards Track,ERC,Final
,,,,,
1679,Hardfork Meta: Istanbul,"Alex Beregszaszi (@axic), Afri Schoedon (@5chdn)",https://ethereum-magicians.org/t/hardfork-meta-istanbul-discussion/3207,Meta,Final
,,,,,
1681,Temporal Replay Protection,Martin Holst Swende (@holiman),https://ethereum-magicians.org/t/temporal-replay-protection/2355,Stagnant,Standards Track
,,,,,
1682,Storage Rent,"Felix J Lange (@fjl), Martin Holst Swende (@holiman)",https://ethereum-magicians.org/t/storage-rent-eip/2357,Withdrawn,Standards Track
,,,,,
170,Contract code size limit,Vitalik Buterin (@vbuterin),Standards Track,Core,Final
,,,,,
1702,Generalized Account Versioning Scheme,Wei Tang (@sorpaas),sorpaas#2,Stagnant,Standards Track
,,,,,
1706,Disable SSTORE with gasleft lower than call stipend,"Alex Forshtat <alex@tabookey.com>, Yoav Weiss <yoav@tabookey.com>",forshtat#1,Withdrawn,The authors prefer [EIP-2200](./eip-2200.md)
,,,,,
1710,URL Format for Web3 Browsers,Bruno Barbieri (@brunobar79),https://ethereum-magicians.org/t/standarize-url-format-for-web3-browsers/2422,Stagnant,Standards Track
,,,,,
1716,Hardfork Meta: Petersburg,"Afri Schoedon (@5chdn), Marius van der Wijden (@MariusVanDerWijden)",Meta,Final,2019-01-21
,,,,,
173,Contract Ownership Standard,A standard interface for ownership of contracts,"Nick Mudge (@mudgen), Dan Finlay <dan@danfinlay.com>",#173,Standards Track
,,,,,
1753,Smart Contract Interface for Licences,"Lucas Cullen (@BitcoinBrisbane), Kai Yeung (@CivicKai), Anna Crowley <annaelizabethcrowley@gmail.com>, Caroline Marshall <caroline.marshall888@gmail.com>, Katrina Donaghy <katrina@civicledger.com>",Stagnant,Standards Track,ERC
,,,,,
1761,Scoped Approval Interface,"Witek Radomski <witek@enjin.io>, Andrew Cooke <ac0dem0nk3y@gmail.com>, James Therien <james@enjin.io>, Eric Binet <eric@enjin.io>",Standards Track,ERC,Stagnant
,,,,,
